2012	1	5.05	2.03	-0.97	0.00
2012	2	4.42	-1.85	0.43	0.00
2012	3	3.11	-0.65	1.14	0.00
2012	4	-0.85	-0.41	-0.78	0.00
2012	5	-6.19	0.07	-1.06	0.01
2012	6	3.89	0.67	0.62	0.00
2012	7	0.79	-2.77	-0.02	0.00
2012	8	2.55	0.48	1.30	0.01
2012	9	2.73	0.51	1.60	0.01
2012	10	-1.76	-1.16	3.59	0.01
2012	11	0.78	0.64	-0.84	0.01
2012	12	1.18	1.50	3.51	0.01
2013	1	5.57	0.33	0.96	0.00
2013	2	1.29	-0.28	0.11	0.00
2013	3	4.03	0.81	-0.19	0.00
2013	4	1.55	-2.36	0.45	0.00
2013	5	2.80	1.73	2.63	0.00
2013	6	-1.20	1.33	0.03	0.00
2013	7	5.65	1.86	0.57	0.00
2013	8	-2.71	0.28	-2.69	0.00
2013	9	3.77	2.91	-1.22	0.00
2013	10	4.18	-1.56	1.25	0.00
2013	11	3.13	1.29	0.32	0.00
2013	12	2.81	-0.45	-0.02	0.00
2014	1	-3.32	0.90	-2.07	0.00
2014	2	4.65	0.37	-0.31	0.00
2014	3	0.43	-1.85	4.93	0.00
2014	4	-0.19	-4.20	1.17	0.00
2014	5	2.06	-1.88	-0.13	0.00
2014	6	2.61	3.08	-0.70	0.00
2014	7	-2.04	-4.29	0.03	0.00
2014	8	4.24	0.40	-0.45	0.00
2014	9	-1.97	-3.72	-1.34	0.00
2014	10	2.52	4.20	-1.81	0.00
2014	11	2.55	-2.06	-3.09	0.00
2014	12	-0.06	2.49	2.27	0.00
2015	1	-3.11	-0.55	-3.58	0.00
2015	2	6.13	0.61	-1.86	0.00
2015	3	-1.12	3.04	-0.37	0.00
2015	4	0.59	-3.03	1.82	0.00
2015	5	1.36	0.92	-1.14	0.00
2015	6	-1.53	2.90	-0.79	0.00
2015	7	1.54	-4.19	-4.13	0.00
2015	8	-6.04	0.33	2.77	0.00
2015	9	-3.07	-2.63	0.56	0.00
2015	10	7.75	-1.87	-0.46	0.00
2015	11	0.56	3.59	-0.42	0.00
